Timestamp,NetworkTech,NetworkMode,Level,Qual,SNR,DL_bitrate,UL_bitrate,State,EVENT,source_file
2024.06.15_08.58.32,--,5G NSA,-103,-13.0,0.0,0,0,D,LOG START,mc7
2024.06.15_08.58.33,--,5G NSA,-105,-14.0,-1.0,0,0,D,PERIODIC,mc7
2024.06.15_08.58.34,--,5G NSA,-110,-15.0,-3.0,0,0,I,PERIODIC,mc7
2024.06.15_08.58.35,--,5G NSA,-110,-16.0,-3.0,25,31,D,PERIODIC,mc7
2024.06.15_08.58.36,--,5G NSA,-108,-15.0,-1.0,44,27,D,PERIODIC,mc7
2024.06.15_08.58.37,--,5G NSA,-109,-15.0,-3.0,0,0,D,PERIODIC,mc7
2024.06.15_08.58.38,--,5G NSA,-110,-17.0,-4.0,0,0,I,PERIODIC,mc7
2024.06.15_08.58.39,--,5G NSA,-113,-19.0,-5.0,48,35,D,PERIODIC,mc7
2024.06.15_08.58.40,--,5G NSA,-112,-16.0,-3.0,3,2,D,PERIODIC,mc7
2024.06.15_08.58.41,--,5G NSA,-114,-16.0,-4.0,0,0,I,PERIODIC,mc7
2024.06.15_08.58.42,--,5G NSA,-116,-17.0,-7.0,0,0,I,PERIODIC,mc7
2024.06.15_08.58.43,--,5G NSA,-117,-18.0,-8.0,0,0,I,PERIODIC,mc7
2024.06.15_08.58.44,--,5G NSA,-114,-18.0,-5.0,446,106,D,PERIODIC,mc7
2024.06.15_08.58.45,--,5G NSA,-115,-18.0,-7.0,954,448,D,PERIODIC,mc7
2024.06.15_08.58.46,--,5G NSA,-116,-18.0,-7.0,5342,210,D,PERIODIC,mc7
2024.06.15_08.58.47,--,5G NSA,-116,-18.0,-5.0,2494,93,D,PERIODIC,mc7
2024.06.15_08.58.48,--,5G NSA,-115,-17.0,-5.0,2537,201,D,PERIODIC,mc7
2024.06.15_08.58.49,--,5G NSA,-115,-14.0,-1.0,1511,70,D,PERIODIC,mc7
2024.06.15_08.58.50,--,5G NSA,-109,-13.0,1.0,2198,63,D,PERIODIC,mc7
2024.06.15_08.58.51,--,5G NSA,-114,-15.0,-2.0,3800,129,D,PERIODIC,mc7
2024.06.15_08.58.52,--,5G NSA,-111,-15.0,0.0,2479,160,D,PERIODIC,mc7
2024.06.15_08.58.53,--,5G NSA,-112,-14.0,0.0,2505,82,D,PERIODIC,mc7
2024.06.15_08.58.54,--,5G NSA,-110,-14.0,1.0,2575,109,D,PERIODIC,mc7
2024.06.15_08.58.55,--,5G NSA,-118,-14.0,-3.0,2529,139,D,PERIODIC,mc7
2024.06.15_08.58.56,--,LTE,-340,-20.0,4.0,1197,47,D,PERIODIC,mc7
2024.06.15_08.58.57,--,LTE,-340,-20.0,3.0,1964,78,D,PERIODIC,mc7
2024.06.15_08.58.58,--,LTE,-340,-20.0,8.0,2551,53,D,PERIODIC,mc7
2024.06.15_08.58.59,--,LTE,-340,-20.0,8.0,2163,47,D,PERIODIC,mc7
2024.06.15_08.59.00,--,LTE,-340,-20.0,7.0,3004,65,D,PERIODIC,mc7
2024.06.15_08.59.01,--,LTE,-340,-20.0,6.0,2015,51,D,PERIODIC,mc7
2024.06.15_08.59.02,--,LTE,-340,-20.0,8.0,2031,46,D,PERIODIC,mc7
2024.06.15_08.59.03,--,LTE,-340,-20.0,8.0,2536,57,D,PERIODIC,mc7
2024.06.15_08.59.04,--,LTE,-340,-20.0,5.0,2817,56,D,PERIODIC,mc7
2024.06.15_08.59.05,--,LTE,-340,-20.0,6.0,3555,51,D,PERIODIC,mc7
2024.06.15_08.59.06,--,LTE,-340,-20.0,4.0,3426,57,D,PERIODIC,mc7
2024.06.15_08.59.07,--,LTE,-340,-20.0,3.0,5428,62,D,PERIODIC,mc7
2024.06.15_08.59.08,--,LTE,-340,-20.0,3.0,0,5,D,PERIODIC,mc7
2024.06.15_08.59.09,--,LTE,-340,-20.0,7.0,4148,53,D,PERIODIC,mc7
2024.06.15_08.59.10,--,LTE,-340,-20.0,6.0,358,91,D,PERIODIC,mc7
2024.06.15_08.59.11,--,LTE,-340,-20.0,4.0,4,5,D,PERIODIC,mc7
2024.06.15_08.59.12,--,LTE,-340,-20.0,3.0,4,5,D,PERIODIC,mc7
2024.06.15_08.59.13,--,LTE,-340,-20.0,4.0,4,5,D,PERIODIC,mc7
2024.06.15_08.59.14,--,LTE,-340,-20.0,4.0,1163,35,D,PERIODIC,mc7
2024.06.15_08.59.15,--,LTE,-340,-20.0,4.0,6622,140,D,PERIODIC,mc7
2024.06.15_08.59.16,--,LTE,-340,-20.0,2.0,6767,55,D,PERIODIC,mc7
2024.06.15_08.59.17,--,LTE,-340,-20.0,8.0,4,5,D,PERIODIC,mc7
2024.06.15_08.59.18,--,5G NSA,-119,-13.0,8.0,1,5,D,PERIODIC,mc7
2024.06.15_08.59.19,--,5G NSA,-112,-14.0,11.0,10,12,D,PERIODIC,mc7
2024.06.15_08.59.20,--,5G NSA,-109,-13.0,8.0,4,6,D,PERIODIC,mc7
2024.06.15_08.59.21,--,5G NSA,-109,-14.0,6.0,5,5,D,PERIODIC,mc7
2024.06.15_08.59.22,--,5G NSA,-109,-15.0,6.0,4,5,D,PERIODIC,mc7
2024.06.15_08.59.23,--,5G NSA,-108,-13.0,7.0,4,5,D,PERIODIC,mc7
2024.06.15_08.59.24,--,5G NSA,-109,-13.0,4.0,4258,54,D,PERIODIC,mc7
2024.06.15_08.59.25,--,5G NSA,-109,-13.0,1.0,6,17,D,PERIODIC,mc7
2024.06.15_08.59.26,--,5G NSA,-106,-12.0,2.0,5,5,D,PERIODIC,mc7
2024.06.15_08.59.27,--,LTE,-340,-20.0,7.0,6999,70,D,PERIODIC,mc7
2024.06.15_08.59.28,--,LTE,-340,-20.0,7.0,9301,71,D,PERIODIC,mc7
2024.06.15_08.59.29,--,LTE,-340,-20.0,5.0,4,5,D,PERIODIC,mc7
2024.06.15_08.59.30,--,LTE,-340,-20.0,10.0,4,5,D,PERIODIC,mc7
2024.06.15_08.59.31,--,LTE,-340,-20.0,8.0,6,9,D,PERIODIC,mc7
2024.06.15_08.59.32,--,LTE,-340,-20.0,8.0,4,5,D,PERIODIC,mc7
2024.06.15_08.59.33,--,LTE,-340,-20.0,11.0,4,5,D,PERIODIC,mc7
