Timestamp,NetworkTech,NetworkMode,Level,Qual,SNR,DL_bitrate,UL_bitrate,State,EVENT,source_file
2024.06.14_15.45.34,--,5G NSA,-101,-12.0,3.0,0,0,I,LOG START,mc6
2024.06.14_15.45.34,--,5G NSA,-101,-12.0,3.0,0,0,I,PERIODIC,mc6
2024.06.14_15.45.35,--,5G NSA,-101,-12.0,3.0,0,0,I,PERIODIC,mc6
2024.06.14_15.45.36,--,5G NSA,-101,-12.0,3.0,0,5,D,PERIODIC,mc6
2024.06.14_15.45.37,--,5G NSA,-100,-12.0,3.0,89,90,D,PERIODIC,mc6
2024.06.14_15.45.38,--,5G NSA,-109,-15.0,-3.0,4,1,D,PERIODIC,mc6
2024.06.14_15.45.39,--,5G NSA,-98,-13.0,5.0,0,0,I,PERIODIC,mc6
2024.06.14_15.45.40,--,5G NSA,-103,-12.0,4.0,24,31,D,PERIODIC,mc6
2024.06.14_15.45.41,--,5G NSA,-101,-12.0,2.0,23,3,D,PERIODIC,mc6
2024.06.14_15.45.42,--,5G NSA,-105,-13.0,2.0,0,0,D,PERIODIC,mc6
2024.06.14_15.45.43,--,5G NSA,-101,-12.0,2.0,0,0,I,PERIODIC,mc6
2024.06.14_15.45.44,--,5G NSA,-99,-12.0,5.0,0,0,I,PERIODIC,mc6
2024.06.14_15.45.45,--,5G NSA,-101,-12.0,2.0,0,0,I,PERIODIC,mc6
2024.06.14_15.45.46,--,5G NSA,-102,-12.0,4.0,5,8,D,PERIODIC,mc6
2024.06.14_15.45.47,--,5G NSA,-102,-12.0,3.0,324,91,D,PERIODIC,mc6
2024.06.14_15.45.48,--,5G NSA,-101,-12.0,3.0,2233,254,D,PERIODIC,mc6
2024.06.14_15.45.49,--,5G NSA,-102,-12.0,6.0,4311,373,D,PERIODIC,mc6
2024.06.14_15.45.50,--,5G NSA,-103,-12.0,8.0,2804,218,D,PERIODIC,mc6
2024.06.14_15.45.51,--,5G NSA,-101,-11.0,11.0,48,55,D,PERIODIC,mc6
2024.06.14_15.45.52,--,5G NSA,-101,-12.0,2.0,981,72,D,PERIODIC,mc6
2024.06.14_15.45.53,--,5G NSA,-101,-13.0,2.0,1609,20,D,PERIODIC,mc6
2024.06.14_15.45.54,--,5G NSA,-101,-13.0,3.0,6,33,D,PERIODIC,mc6
2024.06.14_15.45.55,--,5G NSA,-97,-12.0,5.0,6,6,D,PERIODIC,mc6
2024.06.14_15.45.56,--,5G NSA,-102,-13.0,1.0,6,21,D,PERIODIC,mc6
2024.06.14_15.45.57,--,5G NSA,-101,-12.0,1.0,4,5,D,PERIODIC,mc6
2024.06.14_15.45.58,--,5G NSA,-101,-13.0,1.0,4241,123,D,PERIODIC,mc6
2024.06.14_15.45.59,--,5G NSA,-105,-13.0,4.0,2117,118,D,PERIODIC,mc6
