Timestamp,NetworkTech,NetworkMode,Level,Qual,SNR,DL_bitrate,UL_bitrate,State,EVENT,source_file
2024.06.14_15.36.48,--,5G NSA,-79,-11.0,26.0,0,11,D,LOG START,mc5
2024.06.14_15.36.48,--,5G NSA,-75,-11.0,28.0,44,64,D,PERIODIC,mc5
2024.06.14_15.36.49,--,5G NSA,-75,-11.0,30.0,0,0,D,PERIODIC,mc5
2024.06.14_15.36.50,--,5G NSA,-72,-11.0,28.0,0,0,I,PERIODIC,mc5
2024.06.14_15.36.52,--,5G NSA,-78,-11.0,26.0,0,0,I,PERIODIC,mc5
2024.06.14_15.36.53,--,5G NSA,-76,-11.0,28.0,0,0,I,PERIODIC,mc5
2024.06.14_15.36.54,--,5G NSA,-76,-11.0,28.0,0,0,I,PERIODIC,mc5
2024.06.14_15.36.54,--,5G NSA,-77,-11.0,29.0,2,1,D,PERIODIC,mc5
2024.06.14_15.36.56,--,5G NSA,-86,-11.0,21.0,0,0,D,PERIODIC,mc5
2024.06.14_15.36.57,--,5G NSA,-84,-11.0,25.0,396,106,D,PERIODIC,mc5
2024.06.14_15.36.58,--,5G NSA,-85,-11.0,26.0,270,71,D,PERIODIC,mc5
2024.06.14_15.36.59,--,5G NSA,-83,-11.0,25.0,0,0,D,PERIODIC,mc5
2024.06.14_15.37.00,--,5G NSA,-87,-11.0,25.0,0,0,I,PERIODIC,mc5
2024.06.14_15.37.01,--,5G NSA,-87,-11.0,25.0,127,44,D,PERIODIC,mc5
2024.06.14_15.37.02,--,5G NSA,-79,-11.0,26.0,185,62,D,PERIODIC,mc5
2024.06.14_15.37.03,--,5G NSA,-84,-11.0,24.0,3,1,D,PERIODIC,mc5
2024.06.14_15.37.04,--,5G NSA,-87,-11.0,22.0,0,0,I,PERIODIC,mc5
2024.06.14_15.37.05,--,5G NSA,-83,-11.0,25.0,0,0,I,PERIODIC,mc5
2024.06.14_15.37.06,--,5G NSA,-81,-11.0,27.0,0,0,I,PERIODIC,mc5
2024.06.14_15.37.07,--,5G NSA,-84,-11.0,24.0,188,58,D,PERIODIC,mc5
2024.06.14_15.37.08,--,5G NSA,-84,-11.0,27.0,1432,306,D,PERIODIC,mc5
2024.06.14_15.37.09,--,5G NSA,-87,-11.0,24.0,857,507,D,PERIODIC,mc5
2024.06.14_15.37.10,--,5G NSA,-84,-11.0,23.0,4209,151,D,PERIODIC,mc5
2024.06.14_15.37.11,--,5G NSA,-90,-11.0,24.0,3576,126,D,PERIODIC,mc5
2024.06.14_15.37.12,--,5G NSA,-93,-11.0,21.0,2548,103,D,PERIODIC,mc5
2024.06.14_15.37.13,--,5G NSA,-89,-11.0,24.0,2609,141,D,PERIODIC,mc5
2024.06.14_15.37.14,--,5G NSA,-96,-11.0,17.0,2508,131,D,PERIODIC,mc5
2024.06.14_15.37.15,--,5G NSA,-87,-11.0,24.0,2517,172,D,PERIODIC,mc5
2024.06.14_15.37.16,--,5G NSA,-89,-11.0,25.0,2569,94,D,PERIODIC,mc5
2024.06.14_15.37.17,--,5G NSA,-91,-11.0,23.0,2524,113,D,PERIODIC,mc5
2024.06.14_15.37.18,--,5G NSA,-95,-11.0,20.0,2516,100,D,PERIODIC,mc5
2024.06.14_15.37.19,--,5G NSA,-84,-11.0,25.0,2525,96,D,PERIODIC,mc5
2024.06.14_15.37.20,--,5G NSA,-88,-11.0,24.0,2504,163,D,PERIODIC,mc5
2024.06.14_15.37.21,--,5G NSA,-90,-11.0,21.0,2563,93,D,PERIODIC,mc5
2024.06.14_15.37.22,--,5G NSA,-96,-11.0,19.0,2521,134,D,PERIODIC,mc5
2024.06.14_15.37.23,--,5G NSA,-104,-11.0,12.0,2530,114,D,PERIODIC,mc5
2024.06.14_15.37.24,--,5G NSA,-107,-11.0,8.0,2544,122,D,PERIODIC,mc5
2024.06.14_15.37.25,--,5G NSA,-108,-12.0,5.0,2384,96,D,PERIODIC,mc5
2024.06.14_15.37.26,--,5G NSA,-110,-12.0,4.0,2643,125,D,PERIODIC,mc5
2024.06.14_15.37.27,--,5G NSA,-102,-11.0,10.0,2486,76,D,PERIODIC,mc5
2024.06.14_15.37.28,--,5G NSA,-101,-11.0,11.0,231,24,D,PERIODIC,mc5
2024.06.14_15.37.29,--,5G NSA,-101,-11.0,11.0,4738,59,D,PERIODIC,mc5
2024.06.14_15.37.30,--,5G NSA,-102,-11.0,12.0,2566,136,D,PERIODIC,mc5
2024.06.14_15.37.31,--,5G NSA,-102,-11.0,9.0,2517,79,D,PERIODIC,mc5
2024.06.14_15.37.32,--,5G NSA,-106,-11.0,6.0,2528,109,D,PERIODIC,mc5
2024.06.14_15.37.33,--,5G NSA,-100,-11.0,10.0,2547,97,D,PERIODIC,mc5
2024.06.14_15.37.34,--,5G NSA,-93,-11.0,20.0,2584,218,D,PERIODIC,mc5
2024.06.14_15.37.35,--,5G NSA,-106,-11.0,9.0,2617,118,D,PERIODIC,mc5
2024.06.14_15.37.36,--,5G NSA,-100,-11.0,17.0,2403,105,D,PERIODIC,mc5
2024.06.14_15.37.37,--,5G NSA,-106,-11.0,10.0,745,23,D,PERIODIC,mc5
2024.06.14_15.37.38,--,5G NSA,-108,-11.0,7.0,12,38,D,PERIODIC,mc5
2024.06.14_15.37.39,--,5G NSA,-107,-11.0,8.0,10,8,D,PERIODIC,mc5
2024.06.14_15.37.40,--,5G NSA,-109,-11.0,6.0,4,5,D,PERIODIC,mc5
2024.06.14_15.37.41,--,5G NSA,-101,-11.0,12.0,955,32,D,PERIODIC,mc5
2024.06.14_15.37.42,--,5G NSA,-97,-11.0,17.0,5321,93,D,PERIODIC,mc5
2024.06.14_15.37.43,--,5G NSA,-87,-11.0,23.0,2637,145,D,PERIODIC,mc5
2024.06.14_15.37.44,--,5G NSA,-94,-11.0,19.0,2199,95,D,PERIODIC,mc5
2024.06.14_15.37.45,--,5G NSA,-96,-11.0,18.0,2859,108,D,PERIODIC,mc5
2024.06.14_15.37.46,--,5G NSA,-94,-11.0,21.0,363,19,D,PERIODIC,mc5
2024.06.14_15.37.47,--,5G NSA,-91,-11.0,20.0,4,5,D,PERIODIC,mc5
2024.06.14_15.37.48,--,5G NSA,-99,-11.0,14.0,4,5,D,PERIODIC,mc5
2024.06.14_15.37.49,--,5G NSA,-108,-11.0,4.0,4,5,D,PERIODIC,mc5
2024.06.14_15.37.50,--,5G NSA,-109,-12.0,7.0,4,6,D,PERIODIC,mc5
2024.06.14_15.37.51,--,5G NSA,-113,-13.0,2.0,4,5,D,PERIODIC,mc5
2024.06.14_15.37.52,--,5G NSA,-113,-13.0,3.0,4,5,D,PERIODIC,mc5
2024.06.14_15.37.53,--,5G NSA,-114,-13.0,0.0,3091,56,D,PERIODIC,mc5
2024.06.14_15.37.54,--,5G NSA,-117,-14.0,-2.0,3998,61,D,PERIODIC,mc5
2024.06.14_15.37.55,--,5G NSA,-117,-15.0,-2.0,2610,133,D,PERIODIC,mc5
2024.06.14_15.37.56,--,5G NSA,-96,-13.0,7.0,2540,82,D,PERIODIC,mc5
2024.06.14_15.37.57,--,5G NSA,-103,-14.0,-1.0,2640,97,D,PERIODIC,mc5
2024.06.14_15.37.58,--,5G NSA,-105,-15.0,-4.0,2496,165,D,PERIODIC,mc5
2024.06.14_15.37.59,--,5G NSA,-107,-17.0,-7.0,2490,116,D,PERIODIC,mc5
