Timestamp,NetworkTech,NetworkMode,Level,Qual,SNR,DL_bitrate,UL_bitrate,State,EVENT,source_file
2024.06.15_12.30.34,--,5G NSA,-104,-12.0,8.0,0,0,I,LOG START,mc12
2024.06.15_12.30.35,--,5G NSA,-104,-12.0,8.0,0,1,D,PERIODIC,mc12
2024.06.15_12.30.36,--,5G NSA,-109,-12.0,4.0,0,0,D,PERIODIC,mc12
2024.06.15_12.30.37,--,5G NSA,-109,-11.0,6.0,331,132,D,PERIODIC,mc12
2024.06.15_12.30.38,--,5G NSA,-115,-12.0,4.0,128,52,D,PERIODIC,mc12
2024.06.15_12.30.39,--,5G NSA,-111,-12.0,4.0,1,1,D,PERIODIC,mc12
2024.06.15_12.30.40,--,5G NSA,-114,-12.0,7.0,1,0,D,PERIODIC,mc12
2024.06.15_12.30.41,--,5G NSA,-112,-11.0,6.0,38,54,D,PERIODIC,mc12
2024.06.15_12.30.42,--,5G NSA,-113,-12.0,4.0,108,36,D,PERIODIC,mc12
2024.06.15_12.30.43,--,5G NSA,-108,-13.0,0.0,257,119,D,PERIODIC,mc12
2024.06.15_12.30.44,--,5G NSA,-109,-15.0,-1.0,117,18,D,PERIODIC,mc12
2024.06.15_12.30.45,--,5G NSA,-109,-14.0,-2.0,0,1,D,PERIODIC,mc12
2024.06.15_12.30.46,--,5G NSA,-117,-18.0,-7.0,0,0,D,PERIODIC,mc12
2024.06.15_12.30.47,--,5G NSA,-112,-15.0,3.0,94,54,D,PERIODIC,mc12
2024.06.15_12.30.48,--,5G NSA,-108,-12.0,8.0,653,132,D,PERIODIC,mc12
2024.06.15_12.30.49,--,5G NSA,-108,-11.0,8.0,1258,361,D,PERIODIC,mc12
2024.06.15_12.30.50,--,5G NSA,-104,-12.0,8.0,6223,470,D,PERIODIC,mc12
2024.06.15_12.30.51,--,5G NSA,-102,-12.0,4.0,2547,155,D,PERIODIC,mc12
2024.06.15_12.30.52,--,5G NSA,-102,-13.0,4.0,2603,236,D,PERIODIC,mc12
2024.06.15_12.30.53,--,5G NSA,-100,-12.0,5.0,2507,102,D,PERIODIC,mc12
2024.06.15_12.30.54,--,5G NSA,-96,-12.0,7.0,2485,128,D,PERIODIC,mc12
2024.06.15_12.30.55,--,5G NSA,-98,-11.0,6.0,2649,147,D,PERIODIC,mc12
2024.06.15_12.30.56,--,5G NSA,-98,-12.0,4.0,2501,134,D,PERIODIC,mc12
2024.06.15_12.30.57,--,5G NSA,-98,-13.0,1.0,2500,115,D,PERIODIC,mc12
2024.06.15_12.30.58,--,5G NSA,-107,-15.0,-3.0,2561,119,D,PERIODIC,mc12
2024.06.15_12.30.59,--,5G NSA,-108,-16.0,0.0,2472,124,D,PERIODIC,mc12
2024.06.15_12.31.00,--,5G NSA,-110,-13.0,0.0,2071,121,D,PERIODIC,mc12
2024.06.15_12.31.01,--,LTE,-340,-20.0,3.0,10,50,D,PERIODIC,mc12
2024.06.15_12.31.02,--,5G NSA,-100,-13.0,1.0,226,54,D,PERIODIC,mc12
2024.06.15_12.31.03,--,5G NSA,-100,-12.0,1.0,818,40,D,PERIODIC,mc12
2024.06.15_12.31.04,--,5G NSA,-100,-12.0,-1.0,26,51,D,PERIODIC,mc12
2024.06.15_12.31.05,--,LTE,-340,-20.0,-6.0,4,66,D,PERIODIC,mc12
2024.06.15_12.31.06,--,5G NSA,-115,-14.0,1.0,3456,128,D,PERIODIC,mc12
2024.06.15_12.31.07,--,5G NSA,-115,-14.0,4.0,3643,71,D,PERIODIC,mc12
2024.06.15_12.31.08,--,5G NSA,-111,-13.0,2.0,3344,84,D,PERIODIC,mc12
2024.06.15_12.31.09,--,5G NSA,-111,-13.0,1.0,2558,68,D,PERIODIC,mc12
2024.06.15_12.31.10,--,5G NSA,-113,-13.0,1.0,3102,65,D,PERIODIC,mc12
2024.06.15_12.31.11,--,5G NSA,-106,-12.0,0.0,1407,44,D,PERIODIC,mc12
2024.06.15_12.31.12,--,5G NSA,-105,-12.0,1.0,3578,111,D,PERIODIC,mc12
2024.06.15_12.31.13,--,5G NSA,-109,-12.0,2.0,2274,114,D,PERIODIC,mc12
2024.06.15_12.31.14,--,5G NSA,-106,-11.0,2.0,2852,113,D,PERIODIC,mc12
2024.06.15_12.31.15,--,5G NSA,-108,-11.0,0.0,2513,81,D,PERIODIC,mc12
2024.06.15_12.31.16,--,5G NSA,-109,-11.0,4.0,2233,84,D,PERIODIC,mc12
2024.06.15_12.31.17,--,5G NSA,-111,-12.0,3.0,2101,50,D,PERIODIC,mc12
2024.06.15_12.31.18,--,5G NSA,-115,-13.0,1.0,1289,50,D,PERIODIC,mc12
2024.06.15_12.31.19,--,5G NSA,-125,-18.0,-1.0,414,65,D,PERIODIC,mc12
2024.06.15_12.31.20,--,LTE,-340,-20.0,-4.0,302,75,D,PERIODIC,mc12
2024.06.15_12.31.21,--,LTE,-340,-20.0,-4.0,1704,38,D,PERIODIC,mc12
2024.06.15_12.31.22,--,LTE,-340,-20.0,-4.0,8,8,D,PERIODIC,mc12
2024.06.15_12.31.23,--,LTE,-340,-20.0,9.0,4,5,D,PERIODIC,mc12
2024.06.15_12.31.24,--,5G NSA,-100,-13.0,14.0,4,5,D,PERIODIC,mc12
