Timestamp,NetworkTech,NetworkMode,Level,Qual,SNR,DL_bitrate,UL_bitrate,State,EVENT,source_file
2024.06.13_19.13.37,--,5G NSA,-84,-11.0,12.0,0,0,I,LOG START,mc4
2024.06.13_19.13.37,--,5G NSA,-84,-11.0,12.0,0,0,I,PERIODIC,mc4
2024.06.13_19.13.38,--,5G NSA,-87,-11.0,10.0,3,12,D,PERIODIC,mc4
2024.06.13_19.13.39,--,5G NSA,-88,-11.0,14.0,325,123,D,PERIODIC,mc4
2024.06.13_19.13.40,--,5G NSA,-88,-11.0,19.0,154,38,D,PERIODIC,mc4
2024.06.13_19.13.41,--,5G NSA,-88,-11.0,20.0,0,0,I,PERIODIC,mc4
2024.06.13_19.13.42,--,5G NSA,-91,-11.0,17.0,4,12,D,PERIODIC,mc4
2024.06.13_19.13.43,--,5G NSA,-88,-11.0,17.0,126,33,D,PERIODIC,mc4
2024.06.13_19.13.44,--,5G NSA,-80,-11.0,15.0,0,0,I,PERIODIC,mc4
2024.06.13_19.13.45,--,5G NSA,-79,-11.0,11.0,0,0,I,PERIODIC,mc4
2024.06.13_19.13.46,--,5G NSA,-81,-11.0,17.0,0,0,I,PERIODIC,mc4
2024.06.13_19.13.47,--,5G NSA,-80,-11.0,13.0,0,0,I,PERIODIC,mc4
2024.06.13_19.13.48,--,5G NSA,-77,-11.0,8.0,189,59,D,PERIODIC,mc4
2024.06.13_19.13.49,--,5G NSA,-82,-11.0,19.0,1471,241,D,PERIODIC,mc4
2024.06.13_19.13.50,--,5G NSA,-77,-11.0,19.0,3432,422,D,PERIODIC,mc4
2024.06.13_19.13.51,--,5G NSA,-77,-11.0,21.0,2886,146,D,PERIODIC,mc4
2024.06.13_19.13.52,--,5G NSA,-77,-11.0,22.0,2603,89,D,PERIODIC,mc4
2024.06.13_19.13.53,--,5G NSA,-80,-11.0,20.0,2492,205,D,PERIODIC,mc4
2024.06.13_19.13.54,--,5G NSA,-78,-11.0,20.0,2364,147,D,PERIODIC,mc4
2024.06.13_19.13.55,--,5G NSA,-84,-11.0,20.0,2745,162,D,PERIODIC,mc4
2024.06.13_19.13.56,--,5G NSA,-92,-11.0,19.0,2507,132,D,PERIODIC,mc4
2024.06.13_19.13.57,--,5G NSA,-94,-11.0,17.0,2459,76,D,PERIODIC,mc4
2024.06.13_19.13.58,--,5G NSA,-94,-11.0,17.0,2610,66,D,PERIODIC,mc4
2024.06.13_19.13.59,--,5G NSA,-88,-11.0,19.0,2506,77,D,PERIODIC,mc4
