Timestamp,NetworkTech,NetworkMode,Level,Qual,SNR,DL_bitrate,UL_bitrate,State,EVENT,source_file
2024.06.13_18.46.14,--,LTE,-340,-20.0,3.0,73,73,D,PERIODIC,mcar
2024.06.13_18.46.15,--,LTE,-340,-20.0,2.0,25,8,D,PERIODIC,mcar
2024.06.13_18.46.16,--,LTE,-340,-20.0,4.0,54,35,D,PERIODIC,mcar
2024.06.13_18.46.17,--,LTE,-340,-20.0,3.0,384,34,D,PERIODIC,mcar
2024.06.13_18.46.18,--,LTE,-340,-20.0,3.0,353,32,D,PERIODIC,mcar
2024.06.13_18.46.19,--,LTE,-340,-20.0,2.0,297,22,D,PERIODIC,mcar
2024.06.13_18.46.20,--,LTE,-340,-20.0,-1.0,237,39,D,PERIODIC,mcar
2024.06.13_18.46.21,--,LTE,-340,-20.0,-3.0,374,25,D,PERIODIC,mcar
2024.06.13_18.46.22,--,LTE,-340,-20.0,2.0,377,15,D,PERIODIC,mcar
2024.06.13_18.46.23,--,LTE,-340,-20.0,2.0,398,27,D,PERIODIC,mcar
2024.06.13_18.46.24,--,LTE,-340,-20.0,6.0,477,40,D,PERIODIC,mcar
2024.06.13_18.46.25,--,LTE,-340,-20.0,6.0,610,46,D,PERIODIC,mcar
2024.06.13_18.46.26,--,LTE,-340,-20.0,4.0,669,38,D,PERIODIC,mcar
2024.06.13_18.46.27,--,LTE,-340,-20.0,4.0,224,77,D,PERIODIC,mcar
2024.06.13_18.46.28,--,LTE,-340,-20.0,8.0,877,40,D,PERIODIC,mcar
2024.06.13_18.46.29,--,LTE,-340,-20.0,10.0,962,86,D,PERIODIC,mcar
2024.06.13_18.46.30,--,5G NSA,-105,-11.0,10.0,434,22,D,PERIODIC,mcar
2024.06.13_18.46.31,--,5G NSA,-107,-11.0,12.0,918,85,D,PERIODIC,mcar
2024.06.13_18.46.32,--,5G NSA,-109,-11.0,9.0,736,43,D,PERIODIC,mcar
2024.06.13_18.46.33,--,5G NSA,-110,-11.0,9.0,1746,36,D,PERIODIC,mcar
2024.06.13_18.46.34,--,5G NSA,-114,-11.0,7.0,1391,33,D,PERIODIC,mcar
2024.06.13_18.46.35,--,5G NSA,-112,-11.0,8.0,1650,54,D,PERIODIC,mcar
2024.06.13_18.46.36,--,5G NSA,-112,-11.0,8.0,438,24,D,PERIODIC,mcar
2024.06.13_18.46.37,--,5G NSA,-112,-11.0,8.0,3509,34,D,PERIODIC,mcar
2024.06.13_18.46.38,--,5G NSA,-115,-12.0,5.0,4522,38,D,PERIODIC,mcar
2024.06.13_18.46.39,--,5G NSA,-117,-12.0,3.0,3485,40,D,PERIODIC,mcar
2024.06.13_18.46.40,--,5G NSA,-116,-12.0,4.0,2919,38,D,PERIODIC,mcar
