Timestamp,NetworkTech,NetworkMode,Level,Qual,SNR,DL_bitrate,UL_bitrate,State,EVENT,source_file
2024.06.13_18.56.05,--,LTE,-340,-20.0,9.0,0,0,I,LOG START,mc3
2024.06.13_18.56.05,--,LTE,-340,-20.0,9.0,0,0,I,PERIODIC,mc3
2024.06.13_18.56.06,--,LTE,-340,-20.0,9.0,0,0,I,PERIODIC,mc3
2024.06.13_18.56.07,--,5G NSA,-116,-14.0,9.0,28,41,D,PERIODIC,mc3
2024.06.13_18.56.08,--,5G NSA,-116,-14.0,4.0,71,34,D,PERIODIC,mc3
2024.06.13_18.56.09,--,5G NSA,-106,-12.0,2.0,0,0,I,PERIODIC,mc3
2024.06.13_18.56.10,--,5G NSA,-111,-12.0,7.0,0,0,I,PERIODIC,mc3
2024.06.13_18.56.11,--,5G NSA,-110,-11.0,10.0,79,35,D,PERIODIC,mc3
2024.06.13_18.56.12,--,5G NSA,-106,-11.0,10.0,0,0,I,PERIODIC,mc3
2024.06.13_18.56.13,--,5G NSA,-100,-11.0,10.0,0,0,I,PERIODIC,mc3
2024.06.13_18.56.14,--,5G NSA,-100,-11.0,14.0,0,0,I,PERIODIC,mc3
2024.06.13_18.56.15,--,5G NSA,-104,-11.0,18.0,0,0,I,PERIODIC,mc3
2024.06.13_18.56.16,--,5G NSA,-102,-11.0,17.0,0,0,I,PERIODIC,mc3
2024.06.13_18.56.17,--,5G NSA,-100,-11.0,15.0,0,0,I,PERIODIC,mc3
2024.06.13_18.56.18,--,5G NSA,-104,-11.0,15.0,497,109,D,PERIODIC,mc3
2024.06.13_18.56.19,--,5G NSA,-106,-11.0,18.0,2344,419,D,PERIODIC,mc3
2024.06.13_18.56.20,--,5G NSA,-109,-11.0,17.0,5378,433,D,PERIODIC,mc3
2024.06.13_18.56.22,--,5G NSA,-108,-11.0,16.0,2516,152,D,PERIODIC,mc3
2024.06.13_18.56.23,--,5G NSA,-111,-11.0,14.0,2551,205,D,PERIODIC,mc3
2024.06.13_18.56.24,--,5G NSA,-111,-11.0,14.0,2542,161,D,PERIODIC,mc3
2024.06.13_18.56.25,--,5G NSA,-113,-12.0,13.0,2525,130,D,PERIODIC,mc3
2024.06.13_18.56.26,--,5G NSA,-110,-11.0,12.0,2567,139,D,PERIODIC,mc3
2024.06.13_18.56.27,--,5G NSA,-115,-12.0,11.0,2566,104,D,PERIODIC,mc3
2024.06.13_18.56.28,--,5G NSA,-107,-12.0,9.0,2578,184,D,PERIODIC,mc3
2024.06.13_18.56.29,--,5G NSA,-118,-12.0,9.0,2560,126,D,PERIODIC,mc3
2024.06.13_18.56.30,--,5G NSA,-119,-14.0,5.0,2446,112,D,PERIODIC,mc3
2024.06.13_18.56.31,--,5G NSA,-121,-16.0,3.0,1562,83,D,PERIODIC,mc3
2024.06.13_18.56.32,--,LTE,-340,-20.0,10.0,323,9,D,PERIODIC,mc3
2024.06.13_18.56.33,--,LTE,-340,-20.0,14.0,4,6,D,PERIODIC,mc3
2024.06.13_18.56.34,--,LTE,-340,-20.0,12.0,4,6,D,PERIODIC,mc3
