Timestamp,NetworkTech,NetworkMode,Level,Qual,SNR,DL_bitrate,UL_bitrate,State,EVENT,source_file
2024.06.15_09.23.36,--,LTE,-340,-20.0,6.0,0,0,I,LOG START,mc9
2024.06.15_09.23.37,--,LTE,-340,-20.0,7.0,0,0,I,PERIODIC,mc9
2024.06.15_09.23.38,--,LTE,-340,-20.0,10.0,0,0,I,PERIODIC,mc9
2024.06.15_09.23.39,--,5G NSA,-99,-11.0,16.0,0,0,I,PERIODIC,mc9
2024.06.15_09.23.40,--,5G NSA,-110,-11.0,6.0,263,89,D,PERIODIC,mc9
2024.06.15_09.23.41,--,5G NSA,1111,1111.0,0.0,0,1,D,PERIODIC,mc9
2024.06.15_09.23.42,--,5G NSA,-118,-12.0,6.0,257,118,D,PERIODIC,mc9
2024.06.15_09.23.43,--,5G NSA,-114,-12.0,7.0,63,15,D,PERIODIC,mc9
2024.06.15_09.23.44,--,5G NSA,-112,-13.0,6.0,0,0,D,PERIODIC,mc9
2024.06.15_09.23.45,--,5G NSA,-115,-12.0,6.0,130,44,D,PERIODIC,mc9
2024.06.15_09.23.46,--,5G NSA,-105,-12.0,4.0,0,0,D,PERIODIC,mc9
2024.06.15_09.23.47,--,5G NSA,-96,-11.0,12.0,0,0,I,PERIODIC,mc9
2024.06.15_09.23.48,--,5G NSA,-113,-14.0,12.0,0,0,I,PERIODIC,mc9
2024.06.15_09.23.49,--,5G NSA,-115,-14.0,7.0,0,0,I,PERIODIC,mc9
2024.06.15_09.23.50,--,5G NSA,-110,-14.0,7.0,0,0,I,PERIODIC,mc9
2024.06.15_09.23.51,--,5G NSA,-109,-16.0,3.0,228,96,D,PERIODIC,mc9
2024.06.15_09.23.52,--,5G NSA,-90,-11.0,2.0,632,284,D,PERIODIC,mc9
2024.06.15_09.23.53,--,5G NSA,-94,-11.0,1.0,1413,420,D,PERIODIC,mc9
2024.06.15_09.23.54,--,5G NSA,-102,-13.0,10.0,2943,169,D,PERIODIC,mc9
2024.06.15_09.23.55,--,5G NSA,-109,-14.0,7.0,5228,192,D,PERIODIC,mc9
2024.06.15_09.23.56,--,5G NSA,-111,-16.0,7.0,2535,142,D,PERIODIC,mc9
2024.06.15_09.23.57,--,5G NSA,-112,-14.0,13.0,2566,173,D,PERIODIC,mc9
2024.06.15_09.23.58,--,5G NSA,-97,-11.0,13.0,2546,149,D,PERIODIC,mc9
2024.06.15_09.23.59,--,5G NSA,-100,-11.0,17.0,2534,149,D,PERIODIC,mc9
2024.06.15_09.24.00,--,5G NSA,-109,-14.0,17.0,2528,129,D,PERIODIC,mc9
2024.06.15_09.24.01,--,5G NSA,-112,-15.0,17.0,2531,116,D,PERIODIC,mc9
2024.06.15_09.24.02,--,5G NSA,-109,-12.0,17.0,2520,133,D,PERIODIC,mc9
2024.06.15_09.24.03,--,5G NSA,-109,-13.0,19.0,2506,146,D,PERIODIC,mc9
2024.06.15_09.24.04,--,5G NSA,-105,-12.0,20.0,2516,119,D,PERIODIC,mc9
2024.06.15_09.24.05,--,5G NSA,-106,-12.0,19.0,2526,172,D,PERIODIC,mc9
2024.06.15_09.24.06,--,5G NSA,-104,-12.0,19.0,2512,116,D,PERIODIC,mc9
2024.06.15_09.24.07,--,5G NSA,-105,-14.0,17.0,2537,144,D,PERIODIC,mc9
2024.06.15_09.24.08,--,5G NSA,-105,-15.0,17.0,1859,114,D,PERIODIC,mc9
2024.06.15_09.24.09,--,5G NSA,-104,-15.0,21.0,2851,119,D,PERIODIC,mc9
2024.06.15_09.24.10,--,5G NSA,-107,-14.0,22.0,2716,112,D,PERIODIC,mc9
2024.06.15_09.24.11,--,5G NSA,-110,-13.0,22.0,2751,83,D,PERIODIC,mc9
2024.06.15_09.24.12,--,5G NSA,-108,-12.0,20.0,2521,142,D,PERIODIC,mc9
2024.06.15_09.24.13,--,5G NSA,-103,-12.0,18.0,2529,112,D,PERIODIC,mc9
2024.06.15_09.24.14,--,5G NSA,-101,-11.0,17.0,2586,88,D,PERIODIC,mc9
2024.06.15_09.24.15,--,5G NSA,-102,-11.0,21.0,2455,148,D,PERIODIC,mc9
2024.06.15_09.24.16,--,5G NSA,-101,-11.0,21.0,2593,131,D,PERIODIC,mc9
2024.06.15_09.24.17,--,5G NSA,-99,-11.0,21.0,2508,131,D,PERIODIC,mc9
2024.06.15_09.24.18,--,5G NSA,-98,-11.0,22.0,2502,143,D,PERIODIC,mc9
