Video,Quality,Video Bytes Downloaded,Loaded Percentage,Eid,Date,Time
9GvTYd5hG_g,hd720,0.01817814672,1.8,mc10,2024-06-15,10:14:19
9GvTYd5hG_g,hd720,0.03661529142,3.7,mc10,2024-06-15,10:14:20
9GvTYd5hG_g,hd1080,0.04286197163,4.3,mc10,2024-06-15,10:14:21
9GvTYd5hG_g,hd1080,0.04286197163,4.3,mc10,2024-06-15,10:14:22
9GvTYd5hG_g,hd1080,0.0637486227,6.4,mc10,2024-06-15,10:14:23
9GvTYd5hG_g,hd1080,0.0637486227,6.4,mc10,2024-06-15,10:14:24
9GvTYd5hG_g,hd1080,0.0637486227,6.4,mc10,2024-06-15,10:14:25
9GvTYd5hG_g,hd1080,0.0637486227,6.4,mc10,2024-06-15,10:14:26
9GvTYd5hG_g,hd1080,0.0637486227,6.4,mc10,2024-06-15,10:14:27
9GvTYd5hG_g,hd1080,0.0637486227,6.4,mc10,2024-06-15,10:14:28
9GvTYd5hG_g,hd1080,0.1108906458,11.1,mc10,2024-06-15,10:14:29
9GvTYd5hG_g,hd1080,0.1150390033,11.5,mc10,2024-06-15,10:14:30
9GvTYd5hG_g,hd1080,0.1150390033,11.5,mc10,2024-06-15,10:14:31
9GvTYd5hG_g,hd1080,0.1150390033,11.5,mc10,2024-06-15,10:14:32
9GvTYd5hG_g,hd1080,0.1150390033,11.5,mc10,2024-06-15,10:14:33
9GvTYd5hG_g,hd1080,0.1150390033,11.5,mc10,2024-06-15,10:14:34
9GvTYd5hG_g,hd1080,0.1379405709,13.8,mc10,2024-06-15,10:14:35
9GvTYd5hG_g,hd1080,0.1379405709,13.8,mc10,2024-06-15,10:14:36
9GvTYd5hG_g,hd1080,0.1379405709,13.8,mc10,2024-06-15,10:14:37
9GvTYd5hG_g,hd1080,0.1503110171,15.0,mc10,2024-06-15,10:14:38
9GvTYd5hG_g,hd1080,0.1676155943,16.8,mc10,2024-06-15,10:14:39
9GvTYd5hG_g,hd1080,0.1676155943,16.8,mc10,2024-06-15,10:14:40
9GvTYd5hG_g,hd1080,0.1676155943,16.8,mc10,2024-06-15,10:14:41
9GvTYd5hG_g,hd1080,0.1676155943,16.8,mc10,2024-06-15,10:14:42
9GvTYd5hG_g,hd1080,0.1943626235,19.4,mc10,2024-06-15,10:14:43
9GvTYd5hG_g,hd1080,0.1943626235,19.4,mc10,2024-06-15,10:14:44
9GvTYd5hG_g,hd1080,0.1943626235,19.4,mc10,2024-06-15,10:14:45
9GvTYd5hG_g,hd1080,0.1943626235,19.4,mc10,2024-06-15,10:14:46
9GvTYd5hG_g,hd1080,0.2075539616,20.8,mc10,2024-06-15,10:14:47
9GvTYd5hG_g,hd1080,0.2075539616,20.8,mc10,2024-06-15,10:14:48
9GvTYd5hG_g,hd1080,0.2075539616,20.8,mc10,2024-06-15,10:14:49
9GvTYd5hG_g,hd1080,0.2194942077,21.9,mc10,2024-06-15,10:14:50
9GvTYd5hG_g,hd1080,0.234296601,23.4,mc10,2024-06-15,10:14:51
9GvTYd5hG_g,hd1080,0.234296601,23.4,mc10,2024-06-15,10:14:52
9GvTYd5hG_g,hd1080,0.234296601,23.4,mc10,2024-06-15,10:14:53
9GvTYd5hG_g,hd1080,0.234296601,23.4,mc10,2024-06-15,10:14:54
9GvTYd5hG_g,hd1080,0.2500515801,25.0,mc10,2024-06-15,10:14:55
9GvTYd5hG_g,hd1080,0.2500515801,25.0,mc10,2024-06-15,10:14:56
9GvTYd5hG_g,hd1080,0.2500515801,25.0,mc10,2024-06-15,10:14:57
9GvTYd5hG_g,hd1080,0.2500515801,25.0,mc10,2024-06-15,10:14:58
9GvTYd5hG_g,hd1080,0.2500515801,25.0,mc10,2024-06-15,10:14:59
9GvTYd5hG_g,hd1080,0.2500515801,25.0,mc10,2024-06-15,10:15:00
9GvTYd5hG_g,hd1080,0.2500515801,25.0,mc10,2024-06-15,10:15:01
9GvTYd5hG_g,hd1080,0.2745993213,27.5,mc10,2024-06-15,10:15:02
9GvTYd5hG_g,hd1080,0.2745993213,27.5,mc10,2024-06-15,10:15:03
9GvTYd5hG_g,hd1080,0.2745993213,27.5,mc10,2024-06-15,10:15:04
9GvTYd5hG_g,hd1080,0.2745993213,27.5,mc10,2024-06-15,10:15:05
9GvTYd5hG_g,hd1080,0.2745993213,27.5,mc10,2024-06-15,10:15:06
9GvTYd5hG_g,hd1080,0.2925535884,29.3,mc10,2024-06-15,10:15:07
9GvTYd5hG_g,hd1080,0.2925535884,29.3,mc10,2024-06-15,10:15:08
9GvTYd5hG_g,hd1080,0.2925535884,29.3,mc10,2024-06-15,10:15:09
9GvTYd5hG_g,hd1080,0.2925535884,29.3,mc10,2024-06-15,10:15:10
9GvTYd5hG_g,hd1080,0.3066580041,30.7,mc10,2024-06-15,10:15:11
9GvTYd5hG_g,hd1080,0.3066580041,30.7,mc10,2024-06-15,10:15:12
9GvTYd5hG_g,hd1080,0.3066580041,30.7,mc10,2024-06-15,10:15:13
9GvTYd5hG_g,hd1080,0.3066580041,30.7,mc10,2024-06-15,10:15:14
9GvTYd5hG_g,hd1080,0.3072901348,30.7,mc10,2024-06-15,10:15:15
9GvTYd5hG_g,hd1080,0.3335894048,33.4,mc10,2024-06-15,10:15:16
9GvTYd5hG_g,hd1080,0.3335894048,33.4,mc10,2024-06-15,10:15:17
9GvTYd5hG_g,hd1080,0.3335894048,33.4,mc10,2024-06-15,10:15:18
9GvTYd5hG_g,hd1080,0.3335894048,33.4,mc10,2024-06-15,10:15:19
9GvTYd5hG_g,hd1080,0.3335894048,33.4,mc10,2024-06-15,10:15:20
